file,alpha,beta,run,name,score,duration_ms,memory_kb
tsp/eil76.tsp,0.200000,1.000000,12,haco,592.000000,14882,1478
tsp/eil76.tsp,0.200000,1.000000,13,haco,579.000000,14745,1422
tsp/eil76.tsp,0.200000,1.000000,14,haco,580.000000,14499,1658
tsp/eil76.tsp,0.200000,1.000000,15,haco,565.000000,14326,1088
tsp/eil76.tsp,0.200000,1.000000,16,haco,577.000000,14587,663
tsp/eil76.tsp,0.200000,1.000000,17,haco,587.000000,14147,2401
tsp/eil76.tsp,0.200000,1.000000,18,haco,564.000000,14512,1408
tsp/eil76.tsp,0.200000,1.000000,19,haco,584.000000,14477,1985
tsp/eil76.tsp,0.200000,1.000000,20,haco,597.000000,14593,1338
tsp/eil76.tsp,0.200000,1.000000,1,aco,1285.000000,16897,539
tsp/eil76.tsp,0.200000,1.000000,2,aco,1283.000000,16753,962
tsp/eil76.tsp,0.200000,1.000000,3,aco,1275.000000,17356,2310
tsp/eil76.tsp,0.200000,1.000000,4,aco,1317.000000,17467,2032
tsp/eil76.tsp,0.200000,1.000000,5,aco,1321.000000,17409,658
tsp/eil76.tsp,0.200000,1.000000,6,aco,1288.000000,16686,2005
tsp/eil76.tsp,0.200000,1.000000,7,aco,1285.000000,17046,2705
tsp/eil76.tsp,0.200000,1.000000,8,aco,1294.000000,16980,1875
tsp/eil76.tsp,0.200000,1.000000,9,aco,1251.000000,16603,477
tsp/eil76.tsp,0.200000,1.000000,10,aco,1288.000000,17332,1005
tsp/eil76.tsp,0.200000,1.000000,11,aco,1302.000000,17309,657
tsp/eil76.tsp,0.200000,1.000000,12,aco,1298.000000,16758,1049
tsp/eil76.tsp,0.200000,1.000000,13,aco,1244.000000,17120,786
tsp/eil76.tsp,0.200000,1.000000,14,aco,1292.000000,17343,1786
tsp/eil76.tsp,0.200000,1.000000,15,aco,1253.000000,17097,2390
tsp/eil76.tsp,0.200000,1.000000,16,aco,1307.000000,16864,597
tsp/eil76.tsp,0.200000,1.000000,17,aco,1273.000000,17262,845
tsp/eil76.tsp,0.200000,1.000000,18,aco,1249.000000,17337,1842
tsp/eil76.tsp,0.200000,1.000000,19,aco,1328.000000,17077,943
tsp/eil76.tsp,0.200000,1.000000,20,aco,1295.000000,16736,2352
tsp/eil76.tsp,0.200000,1.500000,1,haco,587.000000,14423,2399
