file,gensize,run,name,score,auc,itb,duration_ms,memory_kb
tsp/swiss42.tsp,500,8,aco,1299.000000,666890.500000,12,1968,2271
tsp/swiss42.tsp,500,9,aco,1299.000000,658513.000000,21,1937,1640
tsp/swiss42.tsp,500,10,aco,1299.000000,667661.000000,14,1967,413
tsp/swiss42.tsp,500,11,aco,1299.000000,668613.000000,23,1965,3076
tsp/swiss42.tsp,500,12,aco,1299.000000,665030.000000,14,1960,2057
tsp/swiss42.tsp,500,13,aco,1303.000000,671424.500000,233,1964,408
tsp/swiss42.tsp,500,14,aco,1299.000000,670313.000000,8,1968,652
tsp/swiss42.tsp,500,15,aco,1299.000000,662356.000000,17,1919,2495
tsp/swiss42.tsp,500,16,aco,1299.000000,666429.000000,8,1959,667
tsp/swiss42.tsp,500,17,aco,1299.000000,672178.500000,11,1969,2138
tsp/swiss42.tsp,500,18,aco,1299.000000,667275.500000,12,1966,2290
tsp/swiss42.tsp,500,19,aco,1299.000000,669388.500000,16,1956,2367
tsp/swiss42.tsp,500,20,aco,1299.000000,662398.000000,10,1940,1645
tsp/swiss42.tsp,800,1,aco,1299.000000,1072335.000000,28,3157,2549
tsp/swiss42.tsp,800,2,aco,1299.000000,1060862.500000,93,3217,438
tsp/swiss42.tsp,800,3,aco,1295.000000,1067163.000000,5,3223,1448
tsp/swiss42.tsp,800,4,aco,1299.000000,1070030.500000,50,3212,151
tsp/swiss42.tsp,800,5,aco,1299.000000,1071357.500000,7,3239,446
tsp/swiss42.tsp,800,6,aco,1299.000000,1068716.500000,9,3203,421
tsp/swiss42.tsp,800,7,aco,1291.000000,1061973.500000,11,3238,1938
tsp/swiss42.tsp,800,8,aco,1299.000000,1065766.500000,11,3220,770
tsp/swiss42.tsp,800,9,aco,1299.000000,1069465.500000,27,3244,707
tsp/swiss42.tsp,800,10,aco,1299.000000,1070275.500000,105,3222,228
tsp/swiss42.tsp,800,11,aco,1299.000000,1061653.000000,111,3203,413
tsp/swiss42.tsp,800,12,aco,1299.000000,1069310.500000,232,3227,2810
tsp/swiss42.tsp,800,13,aco,1299.000000,1065567.500000,36,3218,3091
tsp/swiss42.tsp,800,14,aco,1297.000000,1075203.500000,4,3166,785
tsp/swiss42.tsp,800,15,aco,1299.000000,1069369.500000,13,3253,2478
tsp/swiss42.tsp,800,16,aco,1299.000000,1066667.500000,16,3210,3061
tsp/swiss42.tsp,800,17,aco,1299.000000,1059522.000000,15,3214,1384
tsp/swiss42.tsp,800,18,aco,1287.000000,1046811.500000,23,3201,2252
tsp/swiss42.tsp,800,19,aco,1299.000000,1068002.500000,72,3212,406
tsp/swiss42.tsp,800,20,aco,1299.000000,1066078.500000,75,3173,365
tsp/eil51.tsp,1000,1,haco_no_local,449.000000,462621.000000,319,7534,2264
tsp/eil51.tsp,1000,2,haco_no_local,454.000000,466420.000000,53,7619,1424
tsp/eil51.tsp,1000,3,haco_no_local,454.000000,456411.000000,53,7601,746
tsp/eil51.tsp,1000,4,haco_no_local,463.000000,488836.000000,6,7638,1019
tsp/eil51.tsp,1000,5,haco_no_local,446.000000,478211.500000,152,7518,2883
tsp/eil51.tsp,1000,6,haco_no_local,454.000000,501291.000000,170,7619,2047
tsp/eil51.tsp,1000,7,haco_no_local,457.000000,519897.500000,23,7610,1304
tsp/eil51.tsp,1000,8,haco_no_local,437.000000,462952.000000,319,7583,1020
tsp/eil51.tsp,1000,9,haco_no_local,441.000000,460873.000000,932,7591,2968
tsp/eil51.tsp,1000,10,haco_no_local,451.000000,466690.000000,48,7624,2062
tsp/eil51.tsp,1000,11,haco_no_local,445.000000,471866.000000,24,7567,2036
tsp/eil51.tsp,1000,12,haco_no_local,454.000000,463708.000000,16,7585,2686
tsp/eil51.tsp,1000,13,haco_no_local,448.000000,465526.500000,80,7578,572
tsp/eil51.tsp,1000,14,haco_no_local,447.000000,464304.500000,86,7579,1613
tsp/eil51.tsp,1000,15,haco_no_local,439.000000,463079.500000,73,7675,1916
tsp/eil51.tsp,1000,16,haco_no_local,454.000000,463241.500000,65,7572,1611
tsp/eil51.tsp,1000,17,haco_no_local,444.000000,502272.000000,14,7608,1008
tsp/eil51.tsp,1000,18,haco_no_local,438.000000,462441.500000,83,7530,219
tsp/eil51.tsp,1000,19,haco_no_local,448.000000,469100.000000,229,7692,3018
tsp/eil51.tsp,1000,20,haco_no_local,449.000000,460969.500000,138,7624,788
tsp/eil51.tsp,500,1,haco_no_local,448.000000,252482.500000,32,3774,211
tsp/eil51.tsp,500,2,haco_no_local,448.000000,248512.000000,15,3759,2589
tsp/eil51.tsp,500,3,haco_no_local,437.000000,239453.500000,233,3774,1855
tsp/eil51.tsp,500,4,haco_no_local,454.000000,233231.000000,37,3778,3100
tsp/eil51.tsp,500,5,haco_no_local,451.000000,248251.000000,77,3755,2295
tsp/eil51.tsp,500,6,haco_no_local,447.000000,231143.500000,22,3808,2802
tsp/eil51.tsp,500,7,haco_no_local,462.000000,254293.500000,11,3807,1569
tsp/eil51.tsp,500,8,haco_no_local,442.000000,233718.500000,416,3799,2035
tsp/eil51.tsp,500,9,haco_no_local,447.000000,235805.000000,58,3775,2034
tsp/eil51.tsp,500,10,haco_no_local,469.000000,251944.000000,31,3802,2755
tsp/eil51.tsp,500,11,haco_no_local,440.000000,250281.500000,466,3791,753
tsp/eil51.tsp,500,12,haco_no_local,456.000000,249338.000000,29,3762,824
tsp/eil51.tsp,500,13,haco_no_local,449.000000,246745.000000,356,3757,2364
tsp/eil51.tsp,500,14,haco_no_local,449.000000,232481.500000,298,3784,3183
tsp/eil51.tsp,500,15,haco_no_local,456.000000,248728.000000,129,3780,2777
tsp/eil51.tsp,500,16,haco_no_local,441.000000,230080.500000,19,3770,2383
tsp/eil51.tsp,500,17,haco_no_local,446.000000,243176.500000,474,3787,2883
tsp/eil51.tsp,500,18,haco_no_local,453.000000,234172.000000,110,3792,1526
tsp/eil51.tsp,500,19,haco_no_local,450.000000,233741.000000,47,3786,3003
tsp/eil51.tsp,500,20,haco_no_local,448.000000,247073.000000,69,3770,2384
tsp/eil51.tsp,800,1,haco_no_local,452.000000,368026.500000,611,6088,273
tsp/eil51.tsp,800,2,haco_no_local,455.000000,411632.500000,16,6144,2629
tsp/eil51.tsp,800,3,haco_no_local,460.000000,401106.000000,34,6069,1851
tsp/eil51.tsp,800,4,haco_no_local,460.000000,402889.000000,42,6139,891
tsp/eil51.tsp,800,5,haco_no_local,448.000000,364084.000000,565,6077,2035
tsp/eil51.tsp,800,6,haco_no_local,447.000000,380450.000000,282,6059,1934
tsp/eil51.tsp,800,7,haco_no_local,452.000000,368121.500000,748,6040,1957
tsp/eil51.tsp,800,8,haco_no_local,443.000000,370663.000000,329,6006,672
tsp/eil51.tsp,800,9,haco_no_local,459.000000,394879.000000,80,6052,2714
tsp/eil51.tsp,800,10,haco_no_local,443.000000,370639.500000,12,6061,3062
tsp/eil51.tsp,800,11,haco_no_local,453.000000,372892.500000,516,6024,2775
tsp/eil51.tsp,800,12,haco_no_local,447.000000,372036.500000,92,6078,259
tsp/eil51.tsp,800,13,haco_no_local,445.000000,364221.500000,171,6074,263
tsp/eil51.tsp,800,14,haco_no_local,454.000000,380237.000000,29,6107,2233
tsp/eil51.tsp,800,15,haco_no_local,447.000000,368570.000000,145,6126,159
tsp/eil51.tsp,800,16,haco_no_local,460.000000,402289.000000,28,6085,3046
tsp/eil51.tsp,800,17,haco_no_local,451.000000,404524.000000,9,6057,580
tsp/eil51.tsp,800,18,haco_no_local,456.000000,394150.000000,8,6072,1154
tsp/eil51.tsp,800,19,haco_no_local,449.000000,375406.000000,567,6038,1013
tsp/eil51.tsp,800,20,haco_no_local,453.000000,374912.000000,63,6005,1046
tsp/eil51.tsp,1000,1,haco_with_local,430.000000,456758.500000,10,8963,1143
tsp/eil51.tsp,1000,2,haco_with_local,429.000000,485336.000000,135,9143,1634
tsp/eil51.tsp,1000,3,haco_with_local,428.000000,447905.000000,5,8699,2567
tsp/eil51.tsp,1000,4,haco_with_local,428.000000,481504.500000,965,9170,1322
tsp/eil51.tsp,1000,5,haco_with_local,427.000000,480565.000000,410,9201,1169
tsp/eil51.tsp,1000,6,haco_with_local,426.000000,463168.500000,575,8997,2096
tsp/eil51.tsp,1000,7,haco_with_local,429.000000,454921.500000,40,9015,2156
tsp/eil51.tsp,1000,8,haco_with_local,429.000000,471928.500000,435,9052,2217
tsp/eil51.tsp,1000,9,haco_with_local,430.000000,454319.500000,625,8984,1377
tsp/eil51.tsp,1000,10,haco_with_local,429.000000,477934.500000,105,9108,1476
tsp/eil51.tsp,1000,11,haco_with_local,426.000000,457841.000000,90,8888,390
tsp/eil51.tsp,1000,12,haco_with_local,428.000000,476306.500000,260,9045,537
tsp/eil51.tsp,1000,13,haco_with_local,428.000000,466061.000000,830,9025,1170
tsp/eil51.tsp,1000,14,haco_with_local,428.000000,467961.000000,20,9010,2945
tsp/eil51.tsp,1000,15,haco_with_local,428.000000,478476.000000,105,9094,3103
tsp/eil51.tsp,1000,16,haco_with_local,429.000000,459721.500000,715,8904,606
tsp/eil51.tsp,1000,17,haco_with_local,429.000000,465260.500000,260,8906,1574
tsp/eil51.tsp,1000,18,haco_with_local,429.000000,485820.500000,125,9218,1208
tsp/eil51.tsp,1000,19,haco_with_local,430.000000,455951.000000,750,8952,563
tsp/eil51.tsp,1000,20,haco_with_local,430.000000,455067.500000,175,8991,3122
tsp/eil51.tsp,500,1,haco_with_local,428.000000,230844.500000,250,4508,2632
tsp/eil51.tsp,500,2,haco_with_local,427.000000,231073.000000,290,4467,2336
tsp/eil51.tsp,500,3,haco_with_local,430.000000,232539.500000,355,4519,2362
tsp/eil51.tsp,500,4,haco_with_local,429.000000,240829.500000,225,4638,1250
tsp/eil51.tsp,500,5,haco_with_local,427.000000,233049.000000,70,4472,2093
tsp/eil51.tsp,500,6,haco_with_local,430.000000,224204.000000,90,4415,2723
tsp/eil51.tsp,500,7,haco_with_local,426.000000,233663.500000,180,4520,909
tsp/eil51.tsp,500,8,haco_with_local,429.000000,240182.000000,105,4588,2023
tsp/eil51.tsp,500,9,haco_with_local,431.000000,228217.500000,95,4446,1911
tsp/eil51.tsp,500,10,haco_with_local,430.000000,227795.000000,50,4511,2168
tsp/eil51.tsp,500,11,haco_with_local,426.000000,231928.500000,320,4505,512
tsp/eil51.tsp,500,12,haco_with_local,431.000000,228751.000000,90,4484,1352
tsp/eil51.tsp,500,13,haco_with_local,429.000000,239533.000000,355,4583,294
tsp/eil51.tsp,500,14,haco_with_local,429.000000,244688.500000,90,4629,1291
tsp/eil51.tsp,500,15,haco_with_local,429.000000,237202.000000,380,4564,2816
tsp/eil51.tsp,500,16,haco_with_local,428.000000,240191.000000,90,4609,1672
tsp/eil51.tsp,500,17,haco_with_local,429.000000,239557.000000,335,4520,1947
tsp/eil51.tsp,500,18,haco_with_local,428.000000,227683.000000,70,4456,1101
tsp/eil51.tsp,500,19,haco_with_local,430.000000,232244.500000,25,4552,1076
tsp/eil51.tsp,500,20,haco_with_local,430.000000,226467.000000,0,4484,1721
tsp/eil51.tsp,800,1,haco_with_local,430.000000,371868.500000,80,7172,1175
tsp/eil51.tsp,800,2,haco_with_local,430.000000,369463.500000,235,7152,1794
tsp/eil51.tsp,800,3,haco_with_local,428.000000,366778.000000,335,7121,1114
tsp/eil51.tsp,800,4,haco_with_local,429.000000,385562.500000,145,7317,2094
tsp/eil51.tsp,800,5,haco_with_local,430.000000,362244.000000,30,7050,1905
tsp/eil51.tsp,800,6,haco_with_local,426.000000,366626.500000,10,7134,173
tsp/eil51.tsp,800,7,haco_with_local,429.000000,369468.000000,40,7186,1382
tsp/eil51.tsp,800,8,haco_with_local,430.000000,369401.000000,50,7218,282
tsp/eil51.tsp,800,9,haco_with_local,431.000000,365102.000000,115,7095,1675
tsp/eil51.tsp,800,10,haco_with_local,429.000000,373756.500000,85,7256,3062
tsp/eil51.tsp,800,11,haco_with_local,430.000000,376345.500000,170,7120,996
tsp/eil51.tsp,800,12,haco_with_local,429.000000,368776.000000,65,7313,808
tsp/eil51.tsp,800,13,haco_with_local,431.000000,363740.500000,145,7128,1389
tsp/eil51.tsp,800,14,haco_with_local,428.000000,390531.000000,110,7439,2567
tsp/eil51.tsp,800,15,haco_with_local,429.000000,367107.000000,80,7154,2640
tsp/eil51.tsp,800,16,haco_with_local,430.000000,374067.000000,10,7206,1760
tsp/eil51.tsp,800,17,haco_with_local,428.000000,386872.000000,5,7265,570
tsp/eil51.tsp,800,18,haco_with_local,428.000000,368453.000000,505,7124,1855
tsp/eil51.tsp,800,19,haco_with_local,428.000000,363229.500000,685,7069,2607
tsp/eil51.tsp,800,20,haco_with_local,428.000000,382769.500000,135,7320,2801
tsp/eil51.tsp,1000,1,aco,448.000000,493663.000000,40,6941,422
tsp/eil51.tsp,1000,2,aco,443.000000,462622.000000,43,6956,574
tsp/eil51.tsp,1000,3,aco,450.000000,482385.500000,477,6917,1629
tsp/eil51.tsp,1000,4,aco,444.000000,461720.500000,366,6938,2494
tsp/eil51.tsp,1000,5,aco,442.000000,462024.500000,846,6969,1021
tsp/eil51.tsp,1000,6,aco,440.000000,489501.500000,62,6946,1893
tsp/eil51.tsp,1000,7,aco,447.000000,484517.500000,91,6907,1540
tsp/eil51.tsp,1000,8,aco,447.000000,466271.000000,46,6931,2319
tsp/eil51.tsp,1000,9,aco,442.000000,464242.500000,426,6941,1146
tsp/eil51.tsp,1000,10,aco,439.000000,463087.000000,45,6919,708
tsp/eil51.tsp,1000,11,aco,444.000000,463193.000000,463,6948,1830
tsp/eil51.tsp,1000,12,aco,443.000000,462482.000000,748,6954,1549
tsp/eil51.tsp,1000,13,aco,444.000000,462786.500000,932,6973,1581
tsp/eil51.tsp,1000,14,aco,454.000000,497306.000000,100,6936,369
tsp/eil51.tsp,1000,15,aco,459.000000,497264.500000,760,6945,1880
tsp/eil51.tsp,1000,16,aco,442.000000,464641.500000,45,6961,1299
tsp/eil51.tsp,1000,17,aco,442.000000,461883.500000,339,6940,2327
tsp/eil51.tsp,1000,18,aco,445.000000,462137.500000,46,6940,1364
tsp/eil51.tsp,1000,19,aco,453.000000,489142.000000,291,6949,3052
tsp/eil51.tsp,1000,20,aco,437.000000,462171.500000,19,6957,1447
tsp/eil51.tsp,500,1,aco,447.000000,235795.000000,304,3514,2353
tsp/eil51.tsp,500,2,aco,453.000000,243987.000000,384,3493,1484
tsp/eil51.tsp,500,3,aco,447.000000,230915.500000,75,3515,746
tsp/eil51.tsp,500,4,aco,442.000000,231772.000000,227,3531,471
tsp/eil51.tsp,500,5,aco,454.000000,247452.500000,27,3500,993
tsp/eil51.tsp,500,6,aco,442.000000,231005.500000,61,3520,3113
tsp/eil51.tsp,500,7,aco,451.000000,246254.000000,23,3527,1006
